category,ourId,ourName,reason_or_bestScore
ambiguous,cmnki2h6000mo9pq32sw83tem,"R POS Pumpica crna","2 exact name matches in Pantheon"
ambiguous,cmnki2h6200mr9pq3bbhrnd6c,"M POS Kecelja za koloraciju","2 exact name matches in Pantheon"
ambiguous,cmnki2heh00vz9pq3loii92gb,"WELLA Color Touch Novi 4/71  60 ml","fuzzy tie: best=1.00, second=1.00"
ambiguous,cmnki2hfr00xd9pq3ajqoe0v7,"WELLA Color Touch Novi 7/97 60 ml","fuzzy tie: best=1.00, second=1.00"
ambiguous,cmnki2hig010d9pq3njsue3xw,"WELLA Hh Brilliant Affair  100ml","2 exact name matches in Pantheon"
ambiguous,cmnki2hih010e9pq36sube8r1,"WELLA Hh Brilliant Affair  100ml","2 exact name matches in Pantheon"
ambiguous,cmnki2hwl01gy9pq3wy6x4jpc,"M POS SCB NIJANSER 2 2018","fuzzy tie: best=1.00, second=1.00"
ambiguous,cmnki2i9201vd9pq3y54ny8o1,"LABEL M Treatment Shampoo  3750 ml","2 exact name matches in Pantheon"
ambiguous,cmnki2i9301ve9pq3rq0squ11,"LABEL M Treatment Shampoo  3750 ml","2 exact name matches in Pantheon"
ambiguous,cmnki2i9501vh9pq3wn1tu6g0,"LABEL M Deep Cleansing Shampoo  3750 ml","2 exact name matches in Pantheon"
ambiguous,cmnki2i9601vi9pq3exvje3g3,"LABEL M Deep Cleansing Shampoo  3750 ml","2 exact name matches in Pantheon"
ambiguous,cmnki2i9701vj9pq3vpijac5l,"LABEL M Moisturising Conditioner  3750 ml","2 exact name matches in Pantheon"
ambiguous,cmnki2i9901vk9pq31la1pwmf,"LABEL M Moisturising Conditioner  3750 ml","2 exact name matches in Pantheon"
ambiguous,cmnki2i9a01vl9pq32dbluiph,"LABEL M Daily Shine Conditioner  3750 ml","2 exact name matches in Pantheon"
ambiguous,cmnki2i9b01vm9pq33qki06jg,"LABEL M Daily Shine Conditioner  3750 ml","2 exact name matches in Pantheon"
ambiguous,cmnki2i9c01vn9pq30n2tad53,"LABEL M Peppermint Treatment  3750 ml","2 exact name matches in Pantheon"
ambiguous,cmnki2i9d01vo9pq3ozixmsrl,"LABEL M Peppermint Treatment  3750 ml","2 exact name matches in Pantheon"
ambiguous,cmnki2i9e01vp9pq3yp7ixlw5,"LABEL M Intensive Repair Shampoo  3750 ml","2 exact name matches in Pantheon"
ambiguous,cmnki2i9f01vq9pq3g67n6lr6,"LABEL M Intensive Repair Shampoo  3750 ml","2 exact name matches in Pantheon"
ambiguous,cmnki2i9h01vr9pq3zuklv0st,"LABEL M Intensive Repair Conditioner  3750 ml","2 exact name matches in Pantheon"
ambiguous,cmnki2i9i01vs9pq3bsoru9wi,"LABEL M Intensive Repair Conditioner  3750 ml","2 exact name matches in Pantheon"
ambiguous,cmnki2i9j01vt9pq3te5o7muq,"LABEL M Honey Oat Shampoo  3750 ml","2 exact name matches in Pantheon"
ambiguous,cmnki2i9k01vu9pq3yskkrzf8,"LABEL M Honey Oat Shampoo  3750 ml","2 exact name matches in Pantheon"
ambiguous,cmnki2i9l01vv9pq3nmrdlyl2,"LABEL M Honey Oat Conditioner  3750 ml","2 exact name matches in Pantheon"
ambiguous,cmnki2i9m01vw9pq3x6snmqns,"LABEL M Honey Oat Conditioner  3750 ml","2 exact name matches in Pantheon"
ambiguous,cmnki2i9n01vx9pq37wtzc087,"LABEL M Colour Stay Shampoo  3750 ml","2 exact name matches in Pantheon"
ambiguous,cmnki2i9o01vy9pq3tpkmacfr,"LABEL M Colour Stay Shampoo  3750 ml","2 exact name matches in Pantheon"
ambiguous,cmnki2i9p01vz9pq37mnz2xbf,"LABEL M Colour Stay Conditioner  3750 ml","2 exact name matches in Pantheon"
ambiguous,cmnki2i9q01w09pq3q6ce3k6c,"LABEL M Colour Stay Conditioner  3750 ml","2 exact name matches in Pantheon"
ambiguous,cmnki2i9w01w79pq301ptx69l,"LABEL M Label M Carbon Antistatic Backwash Comb  kom","2 exact name matches in Pantheon"
ambiguous,cmnki2i9x01w89pq3f53lzopg,"LABEL M Thickening Conditioner  1000 ml.","2 exact name matches in Pantheon"
ambiguous,cmnki2iaf01ws9pq3g342yyhh,"LABEL M Label Men Grooming Cream  100 ml","2 exact name matches in Pantheon"
ambiguous,cmnki2iag01wt9pq3hx0tecbs,"LABEL M Label Men Grooming Cream  100 ml","2 exact name matches in Pantheon"
ambiguous,cmnki2iah01wu9pq38eapyrap,"LABEL M Label Men Thickening Tonic  150 ml","2 exact name matches in Pantheon"
ambiguous,cmnki2iai01wv9pq3qjthbarq,"LABEL M Label Men Thickening Tonic  150 ml","2 exact name matches in Pantheon"
ambiguous,cmnki2iak01wy9pq3wum274pe,"LABEL M Label Men Deconstructor  50 ml","2 exact name matches in Pantheon"
ambiguous,cmnki2ial01wz9pq339ncjfta,"LABEL M Label Men Deconstructor  50 ml","2 exact name matches in Pantheon"
ambiguous,cmnki2ian01x09pq3vve7ur5k,"LABEL M Label Men Max Wax  50 ml","2 exact name matches in Pantheon"
ambiguous,cmnki2iao01x19pq3xe0rho5h,"LABEL M Label Men Max Wax  50 ml","2 exact name matches in Pantheon"
ambiguous,cmnki2iar01x49pq3566l5ee6,"LABEL M Brunette Texturising Spray  200 ml","2 exact name matches in Pantheon"
ambiguous,cmnki2ias01x59pq3983k8tus,"LABEL M Brunette Texturising Spray  200 ml","2 exact name matches in Pantheon"
ambiguous,cmnki2iau01x89pq3qshp8195,"LABEL M Label Men Cologne  75 ml","2 exact name matches in Pantheon"
ambiguous,cmnki2iaw01x99pq304smkets,"LABEL M Label Men Cologne  75 ml","2 exact name matches in Pantheon"
ambiguous,cmnki2ibp01y09pq33clq5sda,"LABEL M Label M Brush - Xl  kom","2 exact name matches in Pantheon"
ambiguous,cmnki2ibr01y19pq3kq8jos64,"LABEL M Label M Brush - Jumbo  kom","2 exact name matches in Pantheon"
ambiguous,cmnki2ibx01y89pq3vmftykve,"LABEL M Label M Carbon Antistatic Backwash Comb  kom","2 exact name matches in Pantheon"
ambiguous,cmnki2ich01ys9pq3opch0hiu,"LABEL M Label M Brush - Xl  kom","2 exact name matches in Pantheon"
